epoch,train_mse,train_rel_l2,val_mse,val_mae,val_rel_l2,lr
1,0.9462978130155534,1.2324643161147832,0.7697318930877373,0.24017757289111613,1.3351261407136916,0.0009999975326009292
2,0.8782161221264687,1.1061868466436864,0.7581908036430832,0.21709979139268398,1.7079372882843018,0.0009999901304280684
3,0.9040032656448602,1.0395088460296393,0.7760847063967958,0.2112836353480816,0.9061178594827652,0.000999977793554475
4,0.8694140302839515,1.0570941489189862,0.6913805123302155,0.20277515482157468,0.9007420316338539,0.0009999605221019082
5,0.671721116651679,0.8608087433502079,0.5052467764064204,0.1789629747159779,0.7600257903337478,0.0009999383162408303
6,0.6066981063566346,0.8429339235648513,0.5997172535688151,0.1903300772421062,0.7954604893922805,0.0009999111761904045
7,0.5854324090396403,0.79893729519099,0.47132591412519104,0.17497562086209656,0.733583265542984,0.000999879102218492
8,0.49693622699669504,0.7137810671702027,0.43763849276001565,0.17532190470956266,0.7152726531028748,0.00099984209464165
9,0.4746320687074331,0.7281146017834544,0.46068403995013796,0.17909056674689056,0.711356920003891,0.000999800153825128
10,0.4660876257068594,0.7094308417290449,0.38939681819465477,0.16669743289239705,0.6760825768113137,0.0009997532801828656
11,0.43518723575743934,0.65534174060449,0.4691061883466318,0.1744653453119099,0.7340640962123871,0.0009997014741774863
12,0.4525161460140225,0.6978922557085753,0.45592261956771835,0.17197808232158424,0.7071129843592644,0.0009996447363202945
13,0.4373636291460571,0.6735823625698686,0.3672259810118703,0.1636033684015274,0.6555942535400391,0.00099958306717127
14,0.4108300771804352,0.6497729942202568,0.36466168485349043,0.1650110245682299,0.6578740671277046,0.0009995164673390624
15,0.42025571305021003,0.6563712533563375,0.3544938518345589,0.16470674984157085,0.6450327157974243,0.0009994449374809851
16,0.40424179876281413,0.6453299527987838,0.37375930523849094,0.16729726884514093,0.6572282448410988,0.0009993684783030088
17,0.38973719965215425,0.6271952638402581,0.3810346839367412,0.16635877396911383,0.6726480290293694,0.0009992870905597548
18,0.3671837970861816,0.6119168970733881,0.3457581251132069,0.16034288881346584,0.6481864973902702,0.0009992007750544874
19,0.35905022825572813,0.6187784729525447,0.30361675076710526,0.157783480361104,0.6299326717853546,0.0009991095326391058
20,0.35363706887401347,0.6156893385574221,0.29608510752441364,0.15880170967429877,0.6176051884889603,0.0009990133642141356
21,0.33676990993844813,0.6126644926145672,0.32400561464601196,0.16657104566693307,0.6414983838796615,0.0009989122707287207
22,0.3648829693407606,0.6310720849782229,0.2969778618193232,0.1543952517211437,0.6049070745706558,0.0009988062531806124
23,0.3354779676015823,0.5902924345806241,0.30607631633465643,0.15480868411250412,0.6197882339358329,0.0009986953126161617
24,0.30758140473499224,0.5762013372033834,0.2888372078043176,0.15169868571683764,0.598129241168499,0.0009985794501303066
25,0.31977503984762734,0.582990812882781,0.3236457415478071,0.15540826292708515,0.6254980444908143,0.0009984586668665637
26,0.3040127557276719,0.5697559859603644,0.2699646409309935,0.1533796623814851,0.5933165058493615,0.0009983329640170144
27,0.29882477057581125,0.5729065574705601,0.26839059552003164,0.15083193685859442,0.5770696192979813,0.0009982023428222956
28,0.28082341442932374,0.5652398379519582,0.25060994415835014,0.14897505585104226,0.57479457706213,0.0009980668045715857
29,0.2734081862177845,0.5615880465134978,0.2663610551768215,0.1475325318519026,0.5730666533112526,0.0009979263506025922
30,0.2641556639518967,0.5412109717726707,0.2347121786675416,0.14427699064835905,0.5586518153548241,0.0009977809823015393
31,0.2576223061141718,0.5506919113919139,0.2595488322083838,0.15461484147235752,0.5681167662143707,0.0009976307011031536
32,0.25251020628984405,0.5343007873743773,0.23858092754089738,0.14433163930661977,0.5567557498812675,0.0009974755084906496
33,0.25443762706599954,0.5474978011101485,0.22295249992748722,0.1536044716835022,0.5677123919129372,0.0009973154059957155
34,0.24607006433652714,0.5416304027661681,0.2136027639004169,0.1439515865407884,0.5424736410379409,0.0009971503951984987
35,0.22464167324960727,0.5193350981920958,0.20825543217360973,0.1392069472465664,0.5286151677370071,0.0009969804777275892
36,0.22858234673221886,0.511325922049582,0.2137784741818905,0.14286350226029754,0.5476967737078666,0.0009968056552600035
37,0.2241739687124209,0.5180622406303883,0.20816518228093628,0.14219879619777204,0.5315491884946824,0.000996625929521169
38,0.22588521002035122,0.5073793236166239,0.2367553908174159,0.14404448647983373,0.5502431228756904,0.0009964413022849061
39,0.21666687248252856,0.5121525046415627,0.24125767410441767,0.14619189552031459,0.5459695026278496,0.0009962517753734112
40,0.21443688394138008,0.5137400726787746,0.20176136748923454,0.1369302468840033,0.5195696666836739,0.0009960573506572383
41,0.2205957509457221,0.5078034825623036,0.20375420977943576,0.1365304275415838,0.5182358220219612,0.0009958580300552808
42,0.21313397010617335,0.4994698873721063,0.2039506491360953,0.13726623645052313,0.5251160278916359,0.0009956538155347526
43,0.20752677183336346,0.47862043846398594,0.1880556367483223,0.13180602500215172,0.5104192778468132,0.0009954447091111687
44,0.2064268665799318,0.5105003574863076,0.21495736487559042,0.13971696915104986,0.534789901971817,0.0009952307128483248
45,0.19830890661032755,0.49020606763660907,0.18381767665268853,0.13141974033787845,0.5088097497820854,0.000995011828858278
46,0.19380295307892084,0.493868269957602,0.24499603060539812,0.14302656296640634,0.5518408045172691,0.0009947880593013246
47,0.19946217397118743,0.4829209500923753,0.1934774706402095,0.13056630734354258,0.5079014889895916,0.00099455940638598
48,0.18916766070869925,0.49068236295133827,0.1730588084552437,0.127782111056149,0.49454825893044474,0.0009943258723689563
49,0.17902989918147796,0.47269866624847057,0.20903463802824263,0.13632368268445133,0.5157435864210129,0.0009940874595551397
50,0.18240660187220784,0.48463798249140383,0.2104893728683237,0.14366343561559916,0.5259694278240203,0.0009938441702975682
51,0.17725901918165618,0.47712080823257563,0.1827239461359568,0.1332123233936727,0.5093547664582729,0.000993596006997409
