epoch,train_mse,train_rel_l2,val_mse,val_mae,val_rel_l2,lr
1,0.6618343089550762,0.8657249914482236,0.4307433356530964,0.26551097705960275,1.0779757857322694,0.0009999975326009292
2,0.4431905502488007,0.7477387359365821,0.3603461236227304,0.16479223482310773,0.653684452176094,0.0009999901304280684
3,0.39063596755295293,0.6620301203802228,0.31542238340189216,0.15313426963984966,0.6084246188402176,0.000999977793554475
4,0.33858212149207245,0.6046255772933364,0.2677776350086788,0.1371167765930295,0.558074364066124,0.0009999605221019082
5,0.3097371879619459,0.5792957784608006,0.23279018816538155,0.1303739062510431,0.5403335854411125,0.0009999383162408303
6,0.2732151237749349,0.5593176390975714,0.25634896468545776,0.13594083888456227,0.5538574516773224,0.0009999111761904045
7,0.23391379523382055,0.5288832969032228,0.22196678745094686,0.13348066415637733,0.533135075867176,0.000999879102218492
8,0.19669367685946781,0.49608782585710287,0.19233882339613045,0.12240011971443891,0.4945701062679291,0.00099984209464165
9,0.17864263168212346,0.4758733108639717,0.18095698312972672,0.12230090415105224,0.48403930738568307,0.000999800153825128
10,0.16406296618515626,0.4614545490592718,0.1876215104275616,0.12804996464401483,0.5126679807901382,0.0009997532801828656
11,0.16576290228695142,0.475249610748142,0.18843174311332406,0.1218941648490727,0.49950171560049056,0.0009997014741774863
12,0.14481336649114382,0.4466604391112924,0.1591813075065147,0.1258515888825059,0.49528676420450213,0.0009996447363202945
13,0.1316728542380588,0.43754681004211304,0.16474657229264267,0.1115163279697299,0.4651660591363907,0.00099958306717127
14,0.1263915575338615,0.4214741926640272,0.15203692196810153,0.10868205414153635,0.4682716116309166,0.0009995164673390624
15,0.12118117033314775,0.40668968968093394,0.13880098730442114,0.1082615883089602,0.4360287681221962,0.0009994449374809851
16,0.11181103744202119,0.40024964082986114,0.14610249535180628,0.11052200850099325,0.4387912765145302,0.0009993684783030088
17,0.10730275260320923,0.4041572636924684,0.15533405781607143,0.10832661655731499,0.44301670268177984,0.0009992870905597548
18,0.10213127945280576,0.3870696367695928,0.13162484237836908,0.1019025483634323,0.4290736220777035,0.0009992007750544874
19,0.09984740657782823,0.3855337446555495,0.13384432974853552,0.10464343563653529,0.42808927744627,0.0009991095326391058
20,0.09239285627554636,0.3738194129895419,0.12920285416184923,0.09987780093215406,0.4149501949548721,0.0009990133642141356
21,0.08989048917210311,0.37265866426751015,0.14952864724618847,0.107267701998353,0.4449431270360947,0.0009989122707287207
22,0.09444082054724276,0.3789628735277802,0.14829812999232672,0.10823070388287306,0.44008979499340056,0.0009988062531806124
23,0.09522422789577831,0.373772843927145,0.14470534795691492,0.10468095573596656,0.4276737943291664,0.0009986953126161617
24,0.08676116869319231,0.359051651135087,0.1349695708951913,0.102663044212386,0.40723404809832575,0.0009985794501303066
25,0.07923964146048093,0.33975500129163266,0.13308726583054523,0.09880890105850995,0.40595137029886247,0.0009984586668665637
26,0.08038395375569962,0.34941319273784754,0.13629758202878292,0.09697138788178564,0.39304141253232955,0.0009983329640170144
27,0.07672801789467484,0.33345431853085755,0.1405677344679134,0.09917170740664005,0.39543849378824236,0.0009982023428222956
28,0.07147264086406721,0.33042504945769907,0.12331590241665254,0.09471215293742716,0.3833170384168625,0.0009980668045715857
29,0.07328582146510598,0.3350723632145673,0.1307027043570997,0.0976987959817052,0.37955921366810796,0.0009979263506025922
30,0.07144728545772523,0.33305895924568174,0.13050011598243144,0.09283740865066648,0.3874256990849972,0.0009977809823015393
