sample,file,mse,mae,rmse,relative_l2,r2
55,Training dataset/2/PT_56.mat,70784426.46342042,5150.821710417056,8413.348112578036,0.34472709193060935,0.8752077657928907
56,Training dataset/7/Photothermal2_Data1_ax5_15_pw15.mat,145877005166.9764,287233.4955940268,381938.48348520265,0.6401111396898108,0.5781996489589906
57,Training dataset/1/Irregular_1_PT_1.mat,78233615493.97334,189190.1067718859,279702.72700489237,0.32332158766189784,0.8891218119583016
58,Training dataset/7/Photothermal5_Data1_ax5_09_pw9.mat,76541970.61131276,5673.368318733626,8748.826813425487,0.5307840002918811,0.6930859017781563
59,Training dataset/6/Photothermal4_Data1_ax5_06_pw6.mat,25028640.793922298,3415.1745558102543,5002.863259566695,0.6890320757547046,0.5122712122326324
60,Training dataset/2/PT_98.mat,71332544.85692744,5300.424161569439,8445.859628061991,0.3740872621180716,0.8560176048450793
61,Training dataset/2/PT_80.mat,231843516.4098407,8846.759892344218,15226.408519734412,0.48386906573240995,0.7649882601203605
62,Training dataset/10/Photothermal2_Data1_plain_16_pw16.mat,81092662337.12924,110432.01927611574,284767.73401691637,0.3234825445951727,0.889005772301517
63,Training dataset/1/Irregular_2_Chirp_1_0.2.mat,219437547.6057532,5665.589878494963,14813.424573870594,0.9518146349810584,0.07998150700644813
64,Training dataset/1/Irregular_2_Chirp_2_0.1.mat,45281808.47260143,3312.7482675469373,6729.175913334517,0.49573905762631304,0.7513439888823689
65,Training dataset/5/Photothermal4_Data1_ax5_01_pw1.mat,5354522167.023849,53152.683792619835,73174.60055937339,0.5606059852833145,0.6781879807913522
66,Training dataset/7/Photothermal4_Data1_ax5_13_pw13.mat,52663046.543758996,4047.6276485700473,7256.930931444711,0.859461863142106,0.26105312235016875
67,Training dataset/10/Photothermal2_Data1_plain_10_pw10.mat,172241793.5701836,7811.22587769773,13124.092104606078,0.47745342828703047,0.7714431485506932
68,Training dataset/6/Photothermal_Data1_ax5_15_pw15.mat,5300848431.5716715,53785.29719196373,72806.92571158097,0.2678283974606822,0.9274109158136559
69,Training dataset/9/Photothermal4_Data1_plain_07_pw7.mat,23007712.168552805,2867.6725497345155,4796.635505075699,0.44369353933955147,0.8022180739085311
70,Training dataset/8/Photothermal5_Data1_ax5_05_pw5.mat,12394212.042530727,2500.5239599414454,3520.5414416721082,0.8133868488781801,0.3143796589134069
71,Training dataset/10/Photothermal3_Data1_plain_09_pw9.mat,124174004.25712542,7583.073145116018,11143.339008444706,0.3858033427899061,0.8450669551329963
72,Training dataset/9/Photothermal4_Data1_plain_03_pw3.mat,57091442.27947339,4728.073462469592,7555.887921314965,0.3608078762516913,0.8650256436088835
73,Training dataset/10/Photothermal5_Data1_plain_15_pw15.mat,77446870257.55518,96190.54563125702,278292.77794717415,0.40166794378199483,0.8348973833808572
74,Training dataset/2/PT_89.mat,43313187.01008115,3847.647680625078,6581.27548504704,0.38499657100461926,0.849434043169707
75,Training dataset/3/Photothermal2_Data1_11_pw11.mat,293404719.7356186,11043.465640817973,17129.060678730126,0.45861041382692724,0.7873116143846913
76,Training dataset/3/Photothermal4_Data1_10_pw10.mat,179531592.9427038,7981.669197386477,13398.939993249609,0.48951252168017595,0.7597401931538605
77,Training dataset/9/Photothermal4_Data1_plain_08_pw8.mat,56293297.47952741,4306.112882214087,7502.885943390544,0.42424292212560233,0.8165924805759563
78,Training dataset/1/Irregular_1_PT_0.2.mat,34715836863.53125,90055.8237585766,186321.86362188213,0.425838238222243,0.8169683635658987
79,Training dataset/10/Photothermal4_Data1_plain_03_pw3.mat,117563000.68690176,6672.0801554118325,10842.647309900925,0.4143565250504173,0.8229134999168806
80,Training dataset/8/Photothermal2_Data1_ax5_15_pw15.mat,33420377064.369186,137443.76522380044,182812.4094922694,0.5409563428773787,0.6988343676090392
