sample,file,mse,mae,rmse,relative_l2,r2
1,Training dataset/2/PT_14.mat,349011458.5340263,6434.375381064044,18681.84837038419,0.9365544914920464,0.12123577138968356
2,Training dataset/4/Photothermal5_Data1_06_pw6.mat,1320723949.9355872,23081.559780858206,36341.76591658126,0.8535409138286771,0.2667434380906699
3,Training dataset/8/Photothermal2_Data1_ax5_11_pw11.mat,40324871.82438399,3505.717420481303,6350.186755079254,0.83132618694594,0.26821298226051704
4,Training dataset/5/Photothermal_Data1_ax5_01_pw1.mat,1823619474.298392,25137.084520753415,42703.85783858868,0.3677492069292866,0.8636345849765006
5,Training dataset/9/Photothermal_Data1_plain_13_pw13.mat,247664176.11716273,5649.537560289577,15737.349717063631,0.9449667822852914,0.09867305642103519
6,Training dataset/9/Photothermal4_Data1_plain_02_pw2.mat,199863266.39918888,5825.398464652726,14137.300534373204,0.8904606186563869,0.19469805139259888
7,Training dataset/10/Photothermal3_Data1_plain_08_pw8.mat,873395822.0964483,14419.165572244183,29553.270920431944,0.9033491617136067,0.17808355329818937
8,Training dataset/9/Photothermal5_Data1_plain_12_pw12.mat,615217429.3935845,15300.144711524217,24803.5769475611,0.9098991055702205,0.12009119600345253
9,Training dataset/10/Photothermal2_Data1_plain_02_pw2.mat,635692796.4659224,11297.183366518915,25212.94898392337,0.8766810725451689,0.22676919950150476
10,Training dataset/3/Photothermal5_Data1_09_pw9.mat,777186957.6425701,15592.089994210797,27878.073061862975,0.8988082177034598,0.16479171990114705
11,Training dataset/2/PT_93.mat,253490868.13439214,7137.555418040872,15921.3965510062,0.8311865356615,0.28932520149468766
12,Training dataset/8/Photothermal4_Data1_ax5_06_pw6.mat,38622356.3278607,3911.4448903462608,6214.68875550986,0.8143529777417237,0.29951380520981075
13,Training dataset/1/Irregular_3_Chirp_1_0.2.mat,332778042.2337577,9343.244348646456,18242.204971816256,0.87510138775328,0.20572064012616753
14,Training dataset/1/Irregular_4_Chirp_4_0.2.mat,617269622.8000879,15240.991218130146,24844.91140656549,0.9087134983596711,0.12254977596162242
15,Training dataset/9/Photothermal2_Data1_plain_02_pw2.mat,202261770.72059646,5851.298397852732,14221.876483804675,0.895583365357153,0.18499997004221946
16,Training dataset/2/PT_49.mat,236416853.162512,6029.537581672593,15375.85292471647,0.8793968036094774,0.2149015161498874
17,Training dataset/7/Photothermal3_Data1_ax5_16_pw16.mat,177245199158.74933,304175.1846486909,421004.9870948672,0.5001380153118014,0.7265469696268343
18,Training dataset/4/Photothermal5_Data1_03_pw3.mat,1891206754.116555,30755.37301736371,43488.00701476851,0.8983182000727187,0.18550816865829844
19,Training dataset/7/Photothermal_Data1_ax5_10_pw10.mat,55414397.6820633,2531.6847537054796,7444.084744417093,0.9994832391595339,-0.0030584432469238365
20,Training dataset/8/Photothermal2_Data1_ax5_04_pw4.mat,33917417.30813977,2786.833471153396,5823.866182197164,1.3741466639647282,-0.8886990818210041
21,Training dataset/3/Photothermal5_Data1_13_pw13.mat,966420684.0622756,17467.46150484188,31087.30744310732,0.9518884878543721,0.09053052312302046
22,Training dataset/7/Photothermal2_Data1_ax5_06_pw6.mat,151675847.34165493,7730.121255730726,12315.674863427295,0.884580891594245,0.1797932387731086
