epoch,train_mse,train_rel_l2,val_mse,val_mae,val_rel_l2,lr
1,0.8266762933126302,1.04659362193197,0.5117588003515265,0.18864071294665335,0.7907052874565125,0.0009999975326009292
2,0.5237642173437053,0.774764028005302,0.4057581840781495,0.17229744028300048,0.709431740641594,0.0009999901304280684
3,0.44694420948908375,0.6818802239373326,0.34591064701089635,0.1520847032777965,0.6455447420477867,0.000999977793554475
4,0.4110848580556194,0.6386579446494579,0.38234671511745544,0.1536087404936552,0.6494957253336906,0.0009999605221019082
5,0.4354924809082149,0.6431991524994374,0.3012398307851981,0.15290279891341924,0.6275304347276688,0.0009999383162408303
6,0.41377370115806117,0.6274005433544516,0.338341548840981,0.15308297593146564,0.6509504094719887,0.0009999111761904045
7,0.3829498226112264,0.6138275777921081,0.29370591332553886,0.13510755957104265,0.5841958299279213,0.000999879102218492
8,0.37298371339820735,0.6067149443551898,0.30784668027772566,0.1404492424800992,0.6061518013477325,0.00099984209464165
9,0.3726190933262842,0.5980608193203807,0.28896727224055213,0.13862370271235705,0.5896244689822197,0.000999800153825128
10,0.3598277791730652,0.5957764957100153,0.2740078351431293,0.13010455900803208,0.5636859714984894,0.0009997532801828656
11,0.3557959056206528,0.5981797751970589,0.27157170816499276,0.1334222241770476,0.5579868331551552,0.0009997014741774863
12,0.3368971575557225,0.5930654907599091,0.2746865806140704,0.13509585335850716,0.5779923513531685,0.0009996447363202945
13,0.3744507810803043,0.5840136444196105,0.29128680956491737,0.13341659517027438,0.5720752134919167,0.00099958306717127
14,0.31953510115672545,0.5644818974658847,0.2876786001317669,0.136041902564466,0.5820989638566971,0.0009995164673390624
15,0.30095887369643604,0.5558799886144697,0.273665773976245,0.12891010860912502,0.5651594892144203,0.0009994449374809851
16,0.2915436182775011,0.5463920424692332,0.31317821096163245,0.15317088784649968,0.6190752446651459,0.0009993684783030088
17,0.2982625451264539,0.570622322615236,0.2461713625176344,0.12893156446516513,0.5827755957841874,0.0009992870905597548
18,0.2905348775075254,0.5383015656843781,0.3066551388183143,0.13912395015358925,0.5906275868415832,0.0009992007750544874
19,0.2568320732392749,0.5204518718644977,0.28096737947198563,0.14648924833163618,0.5976199433207512,0.0009991095326391058
