epoch,train_loss,train_mse,train_rel,train_grad_t,train_grad_x,train_fft,val_loss,val_mse,val_mae,val_rel,val_grad_t,val_grad_x,val_fft,lr
1,0.9301867820322514,0.8260704748361605,1.02588217779994,0.0614251752034761,0.014979560460778885,0.05528784894268028,0.669368089735508,0.5684641914442181,0.2338644780218601,0.9937579452991485,0.06160242632031441,0.014802806614898145,0.05495035406202078,0.0009999975326009292
2,0.6995507871732116,0.6111579119460657,0.8682140238583088,0.06327097960747778,0.015302799128403422,0.05365460527245887,0.5258172772824764,0.4507011611945927,0.18549768663942814,0.736728435754776,0.05767473950982094,0.014489170559681953,0.048264844622462985,0.0009999901304280684
3,0.5879796411842108,0.5095505895442329,0.7686545625329018,0.06258076757658274,0.015598953299922868,0.05107833083020523,0.4202769257128239,0.3536865666974336,0.1657589003443718,0.6514784216880798,0.05770847927778959,0.01441695294342935,0.04548590974882245,0.000999977793554475
4,0.46395940724760293,0.3951125729945488,0.6732776679098607,0.06021968480199576,0.015733531248406506,0.04813699000515044,0.3875667333602905,0.32156746280379594,0.16917014606297015,0.6447097808122635,0.060907823778688905,0.015506698517128825,0.049351676180958745,0.0009999605221019082
5,0.39913715720176696,0.33436992961214856,0.6326507482677698,0.058981308597140014,0.016126293048728257,0.046717660524882375,0.3465017966926098,0.28553602756001056,0.15546851493418218,0.5947571426630021,0.05896069258451462,0.01554172527976334,0.04584056129679084,0.0009999383162408303
6,0.38945783814415336,0.3270892321190331,0.6086489126086235,0.05921076467493549,0.015974645724054427,0.045809814747190106,0.33126419484615327,0.27240056307055055,0.1450593639165163,0.5740552127361298,0.0582923436537385,0.014613495022058488,0.04410862121731043,0.0009999111761904045
7,0.3154689237941056,0.2582329708500765,0.5577655669301749,0.056713607138954104,0.016255998698761688,0.04381504274206236,0.30131879150867463,0.2445314430166036,0.14629041776061058,0.5534360527992248,0.05710441768169403,0.015082490746863186,0.0447034259326756,0.000999879102218492
8,0.267106422316283,0.21586584883916657,0.49795852806419133,0.055525022570509466,0.01671083167893812,0.04281765604973771,0.31354371160268785,0.2563493143767118,0.14155237637460233,0.5574994713068009,0.05704809259623289,0.015174217615276575,0.044460813608020545,0.00099984209464165
9,0.25156170534901323,0.20154246262682135,0.48609393164515496,0.0540805563912727,0.016411931268521585,0.04203149877721444,0.29685997366905215,0.2417954380158335,0.138085350766778,0.5366892337799072,0.05487021617591381,0.014910517469979822,0.04331592284142971,0.000999800153825128
10,0.22922817771323026,0.18088724000554066,0.4693903986364603,0.05372645335737616,0.016368401498766616,0.04145663847448304,0.24112651869654655,0.18953248886391522,0.1296152763068676,0.5021333992481232,0.05373740531504154,0.015297228656709193,0.04153226539492607,0.0009997532801828656
